item,ARWU_university_ID,GRID_ID
http://www.wikidata.org/entity/Q702482,University-of-Bayreuth,grid.7384.8
http://www.wikidata.org/entity/Q714891,National-Central-University,grid.37589.30
http://www.wikidata.org/entity/Q721064,Nanyang-Technological-University,grid.59025.3b
http://www.wikidata.org/entity/Q734774,Saint-Louis-University,grid.262962.b
http://www.wikidata.org/entity/Q737835,University-of-Tehran,grid.46072.37
http://www.wikidata.org/entity/Q738236,National-University-of-Singapore,grid.4280.e
http://www.wikidata.org/entity/Q738258,University-of-Miami,grid.26790.3a
http://www.wikidata.org/entity/Q752663,Delft-University-of-Technology,grid.5292.c
http://www.wikidata.org/entity/Q776223,University-of-Montpellier,grid.121334.6
http://www.wikidata.org/entity/Q790029,Bangor-University,grid.7362.0
http://www.wikidata.org/entity/Q835440,University-of-Konstanz,grid.9811.1
http://www.wikidata.org/entity/Q835662,University-of-Ulm,grid.6582.9
http://www.wikidata.org/entity/Q855730,Chulalongkorn-University,grid.7922.e
http://www.wikidata.org/entity/Q860527,University-of-North-Texas,grid.266869.5
http://www.wikidata.org/entity/Q861548,Florida-State-University,grid.255986.5
http://www.wikidata.org/entity/Q872543,Medical-University-of-Graz,grid.11598.34
http://www.wikidata.org/entity/Q877925,Queens-University-Belfast,grid.4777.3
http://www.wikidata.org/entity/Q924265,Aarhus-University,grid.7048.b
http://www.wikidata.org/entity/Q962011,University-of-Tasmania,grid.1009.8
http://www.wikidata.org/entity/Q1041737,Carleton-University,grid.34428.39
http://www.wikidata.org/entity/Q1052614,Utah-State-University,grid.53857.3c
http://www.wikidata.org/entity/Q1060621,Ankara-University,grid.7256.6
http://www.wikidata.org/entity/Q1065809,Florida-International-University,grid.65456.34
http://www.wikidata.org/entity/Q1066492,Stellenbosch-University,grid.11956.3a
http://www.wikidata.org/entity/Q1074084,China-University-of-Mining-and-Technology,grid.411510.0
http://www.wikidata.org/entity/Q1074103,University-of-Science-and-Technology-of-China,grid.59053.3a
http://www.wikidata.org/entity/Q1075339,Ohio-University,grid.20627.31
http://www.wikidata.org/entity/Q1150245,Kyushu-Institute-of-Technology,grid.258806.1
http://www.wikidata.org/entity/Q1301275,Tokyo-University-of-Agriculture-and-Technology,grid.136594.c
http://www.wikidata.org/entity/Q1329478,Czech-Technical-University-in-Prague,grid.6652.7
http://www.wikidata.org/entity/Q1378320,Swarthmore-College,grid.264430.7
http://www.wikidata.org/entity/Q1422458,University-of-Bath,grid.7340.0
http://www.wikidata.org/entity/Q1434547,Loughborough-University,grid.6571.5
http://www.wikidata.org/entity/Q1496662,Gazi-University,grid.25769.3f
http://www.wikidata.org/entity/Q1640648,University-of-Canberra,grid.1039.b
http://www.wikidata.org/entity/Q1737734,Keele-University,grid.9757.c
http://www.wikidata.org/entity/Q1854488,University-of-Idaho,grid.266456.5
http://www.wikidata.org/entity/Q1859178,University-of-Strathclyde,grid.11984.35
http://www.wikidata.org/entity/Q1973130,University-of-Science-Malaysia,grid.11875.3a
http://www.wikidata.org/entity/Q2067315,University-of-Cagliari,grid.7763.5
http://www.wikidata.org/entity/Q2093139,University-of-Eastern-Finland,grid.9668.1
http://www.wikidata.org/entity/Q2307935,University-of-Udine,grid.5390.f
http://www.wikidata.org/entity/Q2723670,Ain-Shams-University,grid.7269.a
http://www.wikidata.org/entity/Q2892284,Baylor-College-of-Medicine,grid.39382.33
http://www.wikidata.org/entity/Q3152650,Florida-Institute-of-Technology,grid.255966.b
http://www.wikidata.org/entity/Q3180921,Tokyo-Medical-and-Dental-University,grid.265073.5
http://www.wikidata.org/entity/Q6806307,Medical-College-of-Wisconsin,grid.30760.32
http://www.wikidata.org/entity/Q10921986,Harbin-Medical-University,grid.410736.7
http://www.wikidata.org/entity/Q11062018,Guangzhou-Medical-University,grid.410737.6
http://www.wikidata.org/entity/Q16952,Peking-University,grid.11135.37
http://www.wikidata.org/entity/Q23102,Harbin-Engineering-University,grid.33764.35
http://www.wikidata.org/entity/Q24382,Bielefeld-University,grid.7491.b
http://www.wikidata.org/entity/Q31249,Kansas-State-University,grid.36567.31
http://www.wikidata.org/entity/Q39997,Korea-University,grid.222754.4
http://www.wikidata.org/entity/Q40006,Hanyang-University,grid.49606.3d
http://www.wikidata.org/entity/Q40025,University-of-Erlangen-Nuremberg,grid.5330.5
http://www.wikidata.org/entity/Q41765,Konkuk-University,grid.258676.8
http://www.wikidata.org/entity/Q41790,Chung-Ang-University,grid.254224.7
http://www.wikidata.org/entity/Q43406,National-Tsing-Hua-University,grid.38348.34
http://www.wikidata.org/entity/Q43452,Autonomous-University-of-Barcelona,grid.7080.f
http://www.wikidata.org/entity/Q46210,University-of-Milan,grid.4708.b
http://www.wikidata.org/entity/Q49088,Columbia-University,grid.21729.3f
http://www.wikidata.org/entity/Q49110,Boston-University,grid.189504.1
http://www.wikidata.org/entity/Q49120,Tufts-University,grid.429997.8
http://www.wikidata.org/entity/Q49211,Rensselaer-Polytechnic-Institute,grid.33647.35
http://www.wikidata.org/entity/Q52413,University-of-Kansas,grid.266515.3
http://www.wikidata.org/entity/Q122453,University-of-Stuttgart,grid.5719.a
http://www.wikidata.org/entity/Q129421,University-of-California-Davis,grid.27860.3b
http://www.wikidata.org/entity/Q139901,Northern-Arizona-University,grid.261120.6
http://www.wikidata.org/entity/Q152171,University-of-Bonn,grid.10388.32
http://www.wikidata.org/entity/Q153265,University-of-Cincinnati,grid.24827.3b
http://www.wikidata.org/entity/Q153987,University-of-Freiburg,grid.5963.9
http://www.wikidata.org/entity/Q156725,University-of-Hamburg,grid.9026.d
http://www.wikidata.org/entity/Q189441,Jagiellonian-University,grid.5522.0
http://www.wikidata.org/entity/Q193510,University-of-Padua,grid.5608.b
http://www.wikidata.org/entity/Q193727,Johns-Hopkins-University,grid.21107.35
http://www.wikidata.org/entity/Q194223,University-of-Buenos-Aires,grid.7345.5
http://www.wikidata.org/entity/Q197543,Zhejiang-University,grid.13402.34
http://www.wikidata.org/entity/Q201603,Simon-Fraser-University,grid.61971.38
http://www.wikidata.org/entity/Q213439,University-of-Virginia,grid.27755.32
http://www.wikidata.org/entity/Q214341,University-of-Amsterdam,grid.7177.6
http://www.wikidata.org/entity/Q223429,University-of-Birmingham,grid.6572.6
http://www.wikidata.org/entity/Q232141,University-of-Chile,grid.443909.3
http://www.wikidata.org/entity/Q238101,University-of-Minnesota-Twin-Cities,grid.17635.36
http://www.wikidata.org/entity/Q254204,Nankai-University,grid.216938.7
http://www.wikidata.org/entity/Q383568,University-of-Valencia,grid.5338.d
http://www.wikidata.org/entity/Q482730,Pukyong-National-University,grid.412576.3
http://www.wikidata.org/entity/Q487841,Kyungpook-National-University,grid.258803.4
http://www.wikidata.org/entity/Q496536,Kyung-Hee-University,grid.289247.2
http://www.wikidata.org/entity/Q499911,University-of-Turin,grid.7605.4
http://www.wikidata.org/entity/Q538452,Babeș-Bolyai-University,grid.7399.4
http://www.wikidata.org/entity/Q539881,University-of-La-Laguna,grid.10041.34
http://www.wikidata.org/entity/Q540672,Auburn-University,grid.252546.2
http://www.wikidata.org/entity/Q603034,Drexel-University,grid.166341.7
http://www.wikidata.org/entity/Q604444,University-of-Pretoria,grid.49697.35
http://www.wikidata.org/entity/Q616591,Oberlin-College,grid.261284.b
http://www.wikidata.org/entity/Q637387,Shahid-Beheshti-University-of-Medical-Sciences,grid.411600.2
http://www.wikidata.org/entity/Q649868,Hunan-University,grid.67293.39
http://www.wikidata.org/entity/Q659080,University-of-Bern,grid.5734.5
http://www.wikidata.org/entity/Q665105,University-of-Delhi,grid.8195.5
http://www.wikidata.org/entity/Q667568,Aristotle-University-of-Thessaloniki,grid.4793.9
http://www.wikidata.org/entity/Q677993,University-of-South-Africa,grid.412801.e
http://www.wikidata.org/entity/Q690912,University-of-Hohenheim,grid.9464.f
http://www.wikidata.org/entity/Q696757,University-of-Duisburg-Essen,grid.5718.b
http://www.wikidata.org/entity/Q706708,National-Cheng-Kung-University,grid.64523.36
http://www.wikidata.org/entity/Q741082,Macquarie-University,grid.1004.5
http://www.wikidata.org/entity/Q777403,Washington-University-in-St-Louis,grid.4367.6
http://www.wikidata.org/entity/Q788091,Autonomous-University-of-Madrid,grid.5515.4
http://www.wikidata.org/entity/Q795988,University-of-Guelph,grid.34429.38
http://www.wikidata.org/entity/Q812573,Baylor-University,grid.252890.4
http://www.wikidata.org/entity/Q815432,Keio-University,grid.26091.3c
http://www.wikidata.org/entity/Q820887,University-of-Florence,grid.8404.8
http://www.wikidata.org/entity/Q831227,National-University-of-Defense-Technology,grid.412110.7
http://www.wikidata.org/entity/Q835366,South-China-University-of-Technology,grid.79703.3a
http://www.wikidata.org/entity/Q836805,Chalmers-University-of-Technology,grid.5371.0
http://www.wikidata.org/entity/Q930528,University-of-Trento,grid.11696.39
http://www.wikidata.org/entity/Q945876,Université-Grenoble-Alpes,grid.411819.4
http://www.wikidata.org/entity/Q1049470,University-of-Waterloo,grid.46078.3d
http://www.wikidata.org/entity/Q1074117,Renmin-University-of-China,grid.24539.39
http://www.wikidata.org/entity/Q1136919,Iowa-State-University,grid.34421.30
http://www.wikidata.org/entity/Q1137665,Ghent-University,grid.5342.0
http://www.wikidata.org/entity/Q1147063,Jawaharlal-Nehru-University,grid.10706.30
http://www.wikidata.org/entity/Q1148210,Tottori-University,grid.265107.7
http://www.wikidata.org/entity/Q1180978,Deakin-University,grid.1021.2
http://www.wikidata.org/entity/Q1321380,University-of-North-Carolina-at-Greensboro,grid.266860.c
http://www.wikidata.org/entity/Q1414861,University-of-Exeter,grid.8391.3
http://www.wikidata.org/entity/Q1458113,University-of-Victoria,grid.143640.4
http://www.wikidata.org/entity/Q1473615,Kent-State-University,grid.258518.3
http://www.wikidata.org/entity/Q1474157,University-of-New-Orleans,grid.266835.c
http://www.wikidata.org/entity/Q1510516,University-of-Science-and-Technology-Beijing,grid.69775.3a
http://www.wikidata.org/entity/Q1610024,Heriot-Watt-University,grid.9531.e
http://www.wikidata.org/entity/Q1637997,Novosibirsk-State-University,grid.4605.7
http://www.wikidata.org/entity/Q1641788,University-of-Rhode-Island,grid.20431.34
http://www.wikidata.org/entity/Q1711196,Huazhong-University-of-Science-and-Technology,grid.33199.31
http://www.wikidata.org/entity/Q1725075,Norwegian-University-of-Life-Sciences,grid.19477.3c
http://www.wikidata.org/entity/Q1728622,University-of-California-Merced,grid.266096.d
http://www.wikidata.org/entity/Q1752043,King-Saud-University,grid.56302.32
http://www.wikidata.org/entity/Q1771717,Portland-State-University,grid.262075.4
http://www.wikidata.org/entity/Q1950740,Icahn-School-of-Medicine-at-Mount-Sinai,grid.59734.3c
http://www.wikidata.org/entity/Q2302586,Aix-Marseille-University,grid.5399.6
http://www.wikidata.org/entity/Q2471216,Thomas-Jefferson-University,grid.265008.9
http://www.wikidata.org/entity/Q2495899,University-of-Ontario-Institute-of-Technology,grid.266904.f
http://www.wikidata.org/entity/Q3429270,Huazhong-Agricultural-University,grid.35155.37
http://www.wikidata.org/entity/Q3497259,Nanchang-University,grid.260463.5
http://www.wikidata.org/entity/Q4393424,Northeast-Normal-University,grid.27446.33
http://www.wikidata.org/entity/Q5971900,University-of-Electronic-Science-and-Technology-of-China,grid.54549.39
http://www.wikidata.org/entity/Q6806451,Medical-University-of-South-Carolina,grid.259828.c
http://www.wikidata.org/entity/Q7685655,Tarbiat-Modares-University,grid.412266.5
http://www.wikidata.org/entity/Q7784898,Third-Military-Medical-University,grid.410570.7
http://www.wikidata.org/entity/Q1377,University-of-Ljubljana,grid.8954.0
http://www.wikidata.org/entity/Q4182,Weizmann-Institute-of-Science,grid.13992.30
http://www.wikidata.org/entity/Q12432,Michigan-Technological-University,grid.259979.9
http://www.wikidata.org/entity/Q15142,University-of-Massachusetts-Amherst,grid.266683.f
http://www.wikidata.org/entity/Q15575,Flinders-University,grid.1014.4
http://www.wikidata.org/entity/Q21578,Princeton-University,grid.16750.35
http://www.wikidata.org/entity/Q23101,Beijing-Institute-of-Technology,grid.43555.32
http://www.wikidata.org/entity/Q29671,University-of-Aveiro,grid.7311.4
http://www.wikidata.org/entity/Q31519,Charles-University-in-Prague,grid.4491.8
http://www.wikidata.org/entity/Q34433,University-of-Oxford,grid.4991.5
http://www.wikidata.org/entity/Q131252,University-of-Chicago,grid.170205.1
http://www.wikidata.org/entity/Q143451,University-of-Central-Florida,grid.170430.1
http://www.wikidata.org/entity/Q149990,University-of-Rochester,grid.16416.34
http://www.wikidata.org/entity/Q165528,University-of-Greifswald,grid.5603.0
http://www.wikidata.org/entity/Q174710,University-of-California-Los-Angeles,grid.19006.3e
http://www.wikidata.org/entity/Q192964,Istanbul-University,grid.9601.e
http://www.wikidata.org/entity/Q195668,Queen-Mary-University-of-London,grid.4868.2
http://www.wikidata.org/entity/Q219564,Karolinska-Institute,grid.4714.6
http://www.wikidata.org/entity/Q219694,Complutense-University-of-Madrid,grid.4795.f
http://www.wikidata.org/entity/Q240631,University-of-Belgrade,grid.7149.b
http://www.wikidata.org/entity/Q257655,China-Agricultural-University,grid.22935.3f
http://www.wikidata.org/entity/Q280824,Eindhoven-University-of-Technology,grid.6852.9
http://www.wikidata.org/entity/Q300980,Aalto-University,grid.5373.2
http://www.wikidata.org/entity/Q336264,Kyoto-University,grid.258799.8
http://www.wikidata.org/entity/Q372608,University-of-Basel,grid.6612.3
http://www.wikidata.org/entity/Q414245,AGH-University-of-Science-and-Technology,grid.9922.0
http://www.wikidata.org/entity/Q432475,University-of-Canterbury,grid.21006.35
http://www.wikidata.org/entity/Q470963,Fuzhou-University,grid.411604.6
http://www.wikidata.org/entity/Q486156,University-of-Oslo,grid.5510.1
http://www.wikidata.org/entity/Q491082,Ajou-University,grid.251916.8
http://www.wikidata.org/entity/Q500692,University-of-Bremen,grid.7704.4
http://www.wikidata.org/entity/Q503415,University-of-Maryland-College-Park,grid.164295.d
http://www.wikidata.org/entity/Q503419,University-of-Arizona,grid.134563.6
http://www.wikidata.org/entity/Q503473,University-of-Geneva,grid.8591.5
http://www.wikidata.org/entity/Q587326,Tokyo-Institute-of-Technology,grid.32197.3e
http://www.wikidata.org/entity/Q597236,Washington-State-University,grid.30064.31
http://www.wikidata.org/entity/Q598841,Monash-University,grid.1002.3
http://www.wikidata.org/entity/Q603686,Hong-Kong-Baptist-University,grid.221309.b
http://www.wikidata.org/entity/Q627969,University-of-Ottawa,grid.28046.38
http://www.wikidata.org/entity/Q658192,Vilnius-University,grid.6441.7
http://www.wikidata.org/entity/Q703620,Copenhagen-Business-School,grid.4655.2
http://www.wikidata.org/entity/Q727516,University-of-KwaZulu-Natal,grid.16463.36
http://www.wikidata.org/entity/Q750639,Rush-University,grid.262743.6
http://www.wikidata.org/entity/Q787234,Swinburne-University-of-Technology,grid.1027.4
http://www.wikidata.org/entity/Q832792,Yanshan-University,grid.413012.5
http://www.wikidata.org/entity/Q835960,University-of-Sao-Paulo,grid.11899.38
