item,QS_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q657222,stevens-institute-technology,grid.217309.e
http://www.wikidata.org/entity/Q689462,universidad-iberoamericana-ibero,grid.441047.2
http://www.wikidata.org/entity/Q702482,university-bayreuth,grid.7384.8
http://www.wikidata.org/entity/Q738236,national-university-singapore-nus,grid.4280.e
http://www.wikidata.org/entity/Q741082,macquarie-university,grid.1004.5
http://www.wikidata.org/entity/Q841581,sofia-university-st-kliment-ohridski,grid.11355.33
http://www.wikidata.org/entity/Q842909,rice-university,grid.21940.3e
http://www.wikidata.org/entity/Q859363,sciences-po,grid.451239.8
http://www.wikidata.org/entity/Q861888,oregon-state-university,grid.4391.f
http://www.wikidata.org/entity/Q864855,georgia-institute-technology,grid.213917.f
http://www.wikidata.org/entity/Q865528,university-warwick,grid.7372.1
http://www.wikidata.org/entity/Q924265,aarhus-university,grid.7048.b
http://www.wikidata.org/entity/Q951305,university-cape-town,grid.7836.a
http://www.wikidata.org/entity/Q961612,universidad-de-montevideo-um,grid.442043.5
http://www.wikidata.org/entity/Q963530,university-stirling,grid.11918.30
http://www.wikidata.org/entity/Q1035745,cardiff-university,grid.5600.3
http://www.wikidata.org/entity/Q1047293,university-california-santa-cruz,grid.205975.c
http://www.wikidata.org/entity/Q1048851,katz-school-yeshiva-university,grid.268433.8
http://www.wikidata.org/entity/Q1053985,central-queensland-university,grid.1023.0
http://www.wikidata.org/entity/Q1062129,tohoku-university,grid.69566.3a
http://www.wikidata.org/entity/Q1075339,ohio-university,grid.20627.31
http://www.wikidata.org/entity/Q1108197,wuhan-university,grid.49470.3e
http://www.wikidata.org/entity/Q1142924,universiti-malaya-um,grid.10347.31
http://www.wikidata.org/entity/Q1143396,osaka-city-university,grid.261445.0
http://www.wikidata.org/entity/Q1145306,university-calcutta,grid.59056.3f
http://www.wikidata.org/entity/Q1150105,university-tennessee-knoxville,grid.411461.7
http://www.wikidata.org/entity/Q1192597,kobe-university,grid.31432.37
http://www.wikidata.org/entity/Q1201513,university-otago,grid.29980.3a
http://www.wikidata.org/entity/Q1245999,university-siena,grid.9024.f
http://www.wikidata.org/entity/Q1333399,university-leicester,grid.9918.9
http://www.wikidata.org/entity/Q1345942,university-east-london,grid.60969.30
http://www.wikidata.org/entity/Q1420038,queens-university-kingston,grid.410356.5
http://www.wikidata.org/entity/Q1422458,university-bath,grid.7340.0
http://www.wikidata.org/entity/Q1458113,university-victoria,grid.143640.4
http://www.wikidata.org/entity/Q1610024,heriot-watt-university,grid.9531.e
http://www.wikidata.org/entity/Q1640648,university-canberra,grid.1039.b
http://www.wikidata.org/entity/Q1745633,university-hertfordshire,grid.5846.f
http://www.wikidata.org/entity/Q1815710,de-la-salle-university,grid.411987.2
http://www.wikidata.org/entity/Q1817137,unesp,grid.410543.7
http://www.wikidata.org/entity/Q1979891,universidade-nova-de-lisboa,grid.10772.33
http://www.wikidata.org/entity/Q2096604,sharif-university-technology,grid.412553.4
http://www.wikidata.org/entity/Q2297486,universita-degli-studi-roma-tre,grid.8509.4
http://www.wikidata.org/entity/Q2299797,beihang-university-former-buaa,grid.64939.31
http://www.wikidata.org/entity/Q2302336,university-montana-missoula,grid.253613.0
http://www.wikidata.org/entity/Q2531629,verona-university,grid.5611.3
http://www.wikidata.org/entity/Q2744209,university-portsmouth,grid.4701.2
http://www.wikidata.org/entity/Q4746980,amity-university,grid.444644.2
http://www.wikidata.org/entity/Q6156516,ulacit-universidad-latinoamericana-de-ciencia-y-tecnologia-costa-rica,grid.441199.0
http://www.wikidata.org/entity/Q13164,lomonosov-moscow-state-university,grid.14476.30
http://www.wikidata.org/entity/Q16952,peking-university,grid.11135.37
http://www.wikidata.org/entity/Q23101,beijing-institute-technology,grid.43555.32
http://www.wikidata.org/entity/Q24401,universiti-teknologi-malaysia,grid.410877.d
http://www.wikidata.org/entity/Q39997,korea-university,grid.222754.4
http://www.wikidata.org/entity/Q46210,university-milan,grid.4708.b
http://www.wikidata.org/entity/Q49204,smith-college,grid.263724.6
http://www.wikidata.org/entity/Q49207,university-new-hampshire,grid.167436.1
http://www.wikidata.org/entity/Q49211,rensselaer-polytechnic-institute,grid.33647.35
http://www.wikidata.org/entity/Q55044,ludwig-maximilians-universitat-munchen,grid.5252.0
http://www.wikidata.org/entity/Q127990,australian-national-university,grid.1001.0
http://www.wikidata.org/entity/Q131262,alma-mater-studiorum-university-bologna,grid.6292.f
http://www.wikidata.org/entity/Q137503,university-lodz,grid.10789.37
http://www.wikidata.org/entity/Q144488,university-warsaw,grid.12847.38
http://www.wikidata.org/entity/Q153265,university-cincinnati,grid.24827.3b
http://www.wikidata.org/entity/Q155354,philipps-universitat-marburg,grid.10253.35
http://www.wikidata.org/entity/Q158158,technische-universitat-dresden,grid.4488.0
http://www.wikidata.org/entity/Q159895,universitat-rostock,grid.10493.3f
http://www.wikidata.org/entity/Q178972,sun-yat-sen-university,grid.12981.33
http://www.wikidata.org/entity/Q181177,cranfield-university,grid.12026.37
http://www.wikidata.org/entity/Q188370,marquette-university,grid.259670.f
http://www.wikidata.org/entity/Q195668,queen-mary-university-london,grid.4868.2
http://www.wikidata.org/entity/Q214341,university-amsterdam,grid.7177.6
