item,Times_Higher_Education_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q700731,medical-university-vienna,grid.22937.3d
http://www.wikidata.org/entity/Q706708,national-cheng-kung-university-ncku,grid.64523.36
http://www.wikidata.org/entity/Q734764,university-new-south-wales,grid.1005.4
http://www.wikidata.org/entity/Q734774,saint-louis-university,grid.262962.b
http://www.wikidata.org/entity/Q736674,university-colorado-boulder,grid.266190.a
http://www.wikidata.org/entity/Q737332,ben-gurion-university-negev,grid.7489.2
http://www.wikidata.org/entity/Q738258,university-miami,grid.26790.3a
http://www.wikidata.org/entity/Q776223,montpellier-university,grid.121334.6
http://www.wikidata.org/entity/Q777403,washington-university-st-louis,grid.4367.6
http://www.wikidata.org/entity/Q787234,swinburne-university-technology,grid.1027.4
http://www.wikidata.org/entity/Q788091,autonomous-university-madrid,grid.5515.4
http://www.wikidata.org/entity/Q815432,keio-university,grid.26091.3c
http://www.wikidata.org/entity/Q823917,university-sheffield,grid.11835.3e
http://www.wikidata.org/entity/Q835662,ulm-university,grid.6582.9
http://www.wikidata.org/entity/Q835960,university-sao-paulo,grid.11899.38
http://www.wikidata.org/entity/Q850730,university-groningen,grid.4830.f
http://www.wikidata.org/entity/Q875788,university-innsbruck,grid.5771.4
http://www.wikidata.org/entity/Q948720,indian-institute-science,grid.34980.36
http://www.wikidata.org/entity/Q969850,stony-brook-university,grid.36425.36
http://www.wikidata.org/entity/Q1061104,university-california-san-francisco,grid.266102.1
http://www.wikidata.org/entity/Q1067916,okayama-university,grid.261356.5
http://www.wikidata.org/entity/Q1068072,university-delaware,grid.33489.35
http://www.wikidata.org/entity/Q1074015,ocean-university-china,grid.4422.0
http://www.wikidata.org/entity/Q1074103,university-science-and-technology-china,grid.59053.3a
http://www.wikidata.org/entity/Q1075148,university-california-riverside,grid.266097.c
http://www.wikidata.org/entity/Q1122926,university-lisbon,grid.9983.b
http://www.wikidata.org/entity/Q1124657,bar-ilan-university,grid.22098.31
http://www.wikidata.org/entity/Q1129925,pontifical-catholic-university-chile,grid.7870.8
http://www.wikidata.org/entity/Q1144750,queensland-university-technology,grid.1024.7
http://www.wikidata.org/entity/Q1187271,hong-kong-polytechnic-university,grid.16890.36
http://www.wikidata.org/entity/Q1188786,kyushu-university,grid.177174.3
http://www.wikidata.org/entity/Q1202292,griffith-university,grid.1022.1
http://www.wikidata.org/entity/Q1312762,swedish-university-agricultural-sciences,grid.6341.0
http://www.wikidata.org/entity/Q1321803,chiba-university,grid.136304.3
http://www.wikidata.org/entity/Q1333303,hong-kong-university-science-and-technology,grid.24515.37
http://www.wikidata.org/entity/Q1414861,university-exeter,grid.8391.3
http://www.wikidata.org/entity/Q1420239,temple-university,grid.264727.2
http://www.wikidata.org/entity/Q1477368,dalian-university-technology,grid.30055.33
http://www.wikidata.org/entity/Q2031560,tianjin-university,grid.33763.32
http://www.wikidata.org/entity/Q2093139,university-eastern-finland,grid.9668.1
http://www.wikidata.org/entity/Q2748799,chang-gung-university,grid.145695.a
http://www.wikidata.org/entity/Q3551770,southeast-university,grid.263826.b
http://www.wikidata.org/entity/Q5035687,capital-medical-university,grid.24696.3f
http://www.wikidata.org/entity/Q5061828,central-south-university,grid.216417.7
http://www.wikidata.org/entity/Q5971900,university-electronic-science-and-technology-china,grid.54549.39
http://www.wikidata.org/entity/Q11942,eth-zurich-swiss-federal-institute-technology-zurich,grid.5801.c
http://www.wikidata.org/entity/Q15142,university-massachusetts,grid.266683.f
http://www.wikidata.org/entity/Q16955,tsinghua-university,grid.12527.33
http://www.wikidata.org/entity/Q29673,university-minho,grid.10328.38
http://www.wikidata.org/entity/Q31249,kansas-state-university,grid.36567.31
http://www.wikidata.org/entity/Q32751,national-sun-yat-sen-university,grid.412036.2
http://www.wikidata.org/entity/Q34433,university-oxford,grid.4991.5
http://www.wikidata.org/entity/Q35794,university-cambridge,grid.5335.0
http://www.wikidata.org/entity/Q37548,northeastern-university,grid.261112.7
